Año,Mes,Día,Precio Bolsa Nacional,CEE,CERE,Precio Escasez,Precio Escasez Activación
2000,5,11,38.8889,21.7830,23.1041,,
2000,5,12,39.1336,21.7830,23.1041,,
2000,5,13,37.5671,21.7830,23.1041,,
2000,5,14,34.0095,21.7830,23.1041,,
2000,5,15,36.1595,21.7830,23.1041,,
2000,5,16,42.2148,21.7830,23.1041,,
2000,5,17,38.5953,21.7830,23.1041,,
2000,5,18,39.5578,21.7830,23.1041,,
2000,5,19,37.7847,21.7830,23.1041,,
2000,5,20,34.7621,21.7830,23.1041,,
2000,5,21,30.5209,21.7830,23.1041,,
2000,5,22,29.0961,21.7830,23.1041,,
2000,5,23,32.9461,21.7830,23.1041,,
2000,5,24,34.6169,21.7830,23.1041,,
2000,5,25,32.2384,21.7830,23.1041,,
2000,5,26,48.6347,21.7830,23.1041,,
2000,5,27,37.9665,21.7830,23.1041,,
2000,5,28,37.1336,21.7830,23.1041,,
2000,5,29,33.1753,21.7830,23.1041,,
2000,5,30,32.3211,21.7830,23.1041,,
2000,5,31,35.1003,21.7830,23.1041,,
2000,6,1,37.9739,23.3070,24.3184,,
2000,6,2,36.9676,23.3070,24.3184,,
2000,6,3,34.1534,23.3070,24.3184,,
2000,6,4,36.3198,23.3070,24.3184,,
2000,6,5,38.6089,23.3070,24.3184,,
2000,6,6,45.5948,23.3070,24.3184,,
2000,6,7,36.3426,23.3070,24.3184,,
2000,6,8,42.5009,23.3070,24.3184,,
2000,6,9,40.6870,23.3070,24.3184,,
2000,6,10,37.2198,23.3070,24.3184,,
2000,6,11,34.2706,23.3070,24.3184,,
2000,6,12,38.3787,23.3070,24.3184,,
2000,6,13,43.9572,23.3070,24.3184,,
2000,6,14,41.3239,23.3070,24.3184,,
2000,6,15,47.5403,23.3070,24.3184,,
2000,6,16,43.2133,23.3070,24.3184,,
2000,6,17,43.2905,23.3070,24.3184,,
2000,6,18,37.9073,23.3070,24.3184,,
2000,6,19,41.9280,23.3070,24.3184,,
2000,6,20,41.2823,23.3070,24.3184,,
2000,6,21,46.4260,23.3070,24.3184,,
2000,6,22,44.3405,23.3070,24.3184,,
2000,6,23,44.7572,23.3070,24.3184,,
2000,6,24,41.7967,23.3070,24.3184,,
2000,6,25,35.9423,23.3070,24.3184,,
2000,6,26,33.5108,23.3070,24.3184,,
